tag,patterns,responses
BlessedArnoldJulesNicolasReche,Describe Blessed Arnold Jules-Nicolas Reche.,Blessed Arnold Jules-Nicolas Rèche is the patron of CSCS (College of Science and Computer Studies) at DLSU-D. His feast day is celebrated on October 23. He is known for his piety and discipline. Blessed Arnold Jules-Nicolas Rèche worked with other Brothers for the medical and spiritual care of wounded soldiers during the Franco-Prussian war. He is attributed with some cures and miracles.
StBenildeRomancon,Who is St. Benilde Romancon?,"St. Benilde Romançon is the Lasallian Patron for Vocations and the patron of OSS (Office of Student Services) at DLSU-D. His feast day is celebrated on August 13. He worked effectively as a primary school teacher and Principal, and was known for his piety and wisdom. St. Benilde Romançon taught catechism and prepared students for communion. He is credited for miraculous cures."
StBenildeRomancon,Tell me about the Lasallian Patron for OSS at DLSU-D.,"St. Benilde Romançon is the Lasallian Patron for Vocations and the patron of OSS (Office of Student Services) at DLSU-D. His feast day is celebrated on August 13. He worked effectively as a primary school teacher and Principal, and was known for his piety and wisdom. St. Benilde Romançon taught catechism and prepared students for communion. He is credited for miraculous cures."
StBenildeRomancon,Describe St. Benilde Romancon.,"St. Benilde Romançon is the Lasallian Patron for Vocations and the patron of OSS (Office of Student Services) at DLSU-D. His feast day is celebrated on August 13. He worked effectively as a primary school teacher and Principal, and was known for his piety and wisdom. St. Benilde Romançon taught catechism and prepared students for communion. He is credited for miraculous cures."
HistoryDLSUD,Tell me about the history of De La Salle University - Dasmarinas.,"De La Salle University - Dasmariñas (DLSU-D) was first established on July 18, 1977, in Dasmariñas, Cavite. It began as a private nonsectarian tertiary school named General Emilio Aguinaldo College (GEAC)-Cavite and was managed by the Yaman Lahi Foundation. The college started with the Division of Health and Sciences and the Division of Arts and Sciences, offering courses such as Education, Elementary Education, Secretarial Administration, Nursing, Foods and Nutrition, Midwifery, Radiologic Technology, and Business Administration Technical courses were later included to help the community youth who could not afford a four-year college education. In 1987, ownership and management were transferred to Frere (Saint) Benilde Romancon Educational Foundation, Inc., making it a Catholic institution and a member of the De La Salle University System. The college was then named De La Salle University - Emilio Aguinaldo College (DLSU-EAC). In 1992, the name was changed to De La Salle University - Aguinaldo and eventually became De La Salle University - Dasmari\xf1as in 1997. Over the years, the university has expanded its programs and colleges, achieving excellence in regional studies and academic programs relevant to the CALABARZON area."
HistoryDLSUD,When was DLSU-D established?,"De La Salle University - Dasmariñas (DLSU-D) was first established on July 18, 1977, in Dasmariñas, Cavite. It began as a private nonsectarian tertiary school named General Emilio Aguinaldo College (GEAC)-Cavite and was managed by the Yaman Lahi Foundation. The college started with the Division of Health and Sciences and the Division of Arts and Sciences, offering courses such as Education, Elementary Education, Secretarial Administration, Nursing, Foods and Nutrition, Midwifery, Radiologic Technology, and Business Administration Technical courses were later included to help the community youth who could not afford a four-year college education. In 1987, ownership and management were transferred to Frere (Saint) Benilde Romancon Educational Foundation, Inc., making it a Catholic institution and a member of the De La Salle University System. The college was then named De La Salle University - Emilio Aguinaldo College (DLSU-EAC). In 1992, the name was changed to De La Salle University - Aguinaldo and eventually became De La Salle University - Dasmari\xf1as in 1997. Over the years, the university has expanded its programs and colleges, achieving excellence in regional studies and academic programs relevant to the CALABARZON area."
HistoryDLSUD,Describe the founding of DLSU-D.,"De La Salle University - Dasmariñas (DLSU-D) was first established on July 18, 1977, in Dasmariñas, Cavite. It began as a private nonsectarian tertiary school named General Emilio Aguinaldo College (GEAC)-Cavite and was managed by the Yaman Lahi Foundation. The college started with the Division of Health and Sciences and the Division of Arts and Sciences, offering courses such as Education, Elementary Education, Secretarial Administration, Nursing, Foods and Nutrition, Midwifery, Radiologic Technology, and Business Administration Technical courses were later included to help the community youth who could not afford a four-year college education. In 1987, ownership and management were transferred to Frere (Saint) Benilde Romancon Educational Foundation, Inc., making it a Catholic institution and a member of the De La Salle University System. The college was then named De La Salle University - Emilio Aguinaldo College (DLSU-EAC). In 1992, the name was changed to De La Salle University - Aguinaldo and eventually became De La Salle University - Dasmari\xf1as in 1997. Over the years, the university has expanded its programs and colleges, achieving excellence in regional studies and academic programs relevant to the CALABARZON area."
MatureChristianBehavior,How are DLSU-D students expected to behave?,"DLSU-D students are expected to act as mature Christians at all times, on or off campus. They should show respect for proper authority, the rights of fellow students, and the good name of DLSU-D."
MatureChristianBehavior,Tell me about the expectations for DLSU-D students' behavior.,"DLSU-D students are expected to act as mature Christians at all times, on or off campus. They should show respect for proper authority, the rights of fellow students, and the good name of DLSU-D."
MatureChristianBehavior,Describe the conduct expected from DLSU-D students.,"DLSU-D students are expected to act as mature Christians at all times, on or off campus. They should show respect for proper authority, the rights of fellow students, and the good name of DLSU-D."
StudentHandbookCompliance,What is expected regarding the student handbook at DLSU-D?,Students at DLSU-D are expected to read and understand the student handbook and strictly comply with all its provisions to ensure an atmosphere conducive to the formation of students imbued with Christian and Filipino values.
StudentHandbookCompliance,Tell me about the importance of the student handbook at DLSU-D.,Students at DLSU-D are expected to read and understand the student handbook and strictly comply with all its provisions to ensure an atmosphere conducive to the formation of students imbued with Christian and Filipino values.
StudentHandbookCompliance,Describe the role of the student handbook for DLSU-D students.,Students at DLSU-D are expected to read and understand the student handbook and strictly comply with all its provisions to ensure an atmosphere conducive to the formation of students imbued with Christian and Filipino values.
CatholicIdentity,How does DLSU-D maintain its Catholic identity?,"DLSU-D is a Catholic University, and all students are required to attend masses and/or similar activities. Spiritual retreats and recollections are also mandated as a prerequisite for graduation to uphold the Christian principles, traditions, and ideals of the Filipino nation."
CatholicIdentity,Tell me about the Catholic identity of DLSU-D.,"DLSU-D is a Catholic University, and all students are required to attend masses and/or similar activities. Spiritual retreats and recollections are also mandated as a prerequisite for graduation to uphold the Christian principles, traditions, and ideals of the Filipino nation."
CatholicIdentity,Describe the religious requirements for students at DLSU-D.,"DLSU-D is a Catholic University, and all students are required to attend masses and/or similar activities. Spiritual retreats and recollections are also mandated as a prerequisite for graduation to uphold the Christian principles, traditions, and ideals of the Filipino nation."
